@RELATION	yazar

@ATTRIBUTE	oz0	REAL
@ATTRIBUTE	oz1	REAL
@ATTRIBUTE	oz2	REAL
@ATTRIBUTE	oz3	REAL
@ATTRIBUTE	oz4	REAL
@ATTRIBUTE	oz5	REAL
@ATTRIBUTE	oz6	REAL
@ATTRIBUTE	oz7	REAL
@ATTRIBUTE	oz8	REAL
@ATTRIBUTE	oz9	REAL
@ATTRIBUTE	oz10	{1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,4,5,6,7,8,9,}

@DATA
1,68,1,1,889,67,1,3,71,928,15
1,79,3,1,944,88,1,2,84,989,15
1,52,3,1,837,57,2,3,57,884,15
1,47,3,1,852,87,1,2,52,881,15
1,56,2,1,916,73,2,2,60,944,15
1,45,1,1,917,59,1,1,48,934,15
1,63,2,1,863,53,1,1,67,901,15
1,54,1,1,879,62,2,1,57,905,15
1,61,2,1,906,66,1,2,65,947,15
1,52,1,1,908,59,1,3,55,946,15
1,66,1,1,816,73,1,4,69,857,15
1,41,1,3,850,69,1,1,46,866,15
1,39,3,1,843,65,1,2,44,862,15
1,40,1,1,887,64,1,1,43,908,15
1,52,4,1,833,58,1,2,58,863,15
1,48,3,1,862,68,3,2,53,877,15
1,45,2,1,872,74,1,4,49,903,15
1,45,3,2,841,58,1,1,51,870,15
1,37,6,1,864,58,1,2,45,879,15
1,45,3,1,833,50,1,3,50,870,15
1,39,2,5,867,68,3,4,47,881,15
1,39,1,1,718,56,1,1,42,738,15
1,37,4,1,833,58,1,1,43,848,15
1,38,2,1,754,61,2,4,42,772,15
1,41,3,1,846,61,1,2,46,861,15
1,35,5,1,591,32,1,1,42,606,15
1,51,2,1,830,75,1,1,55,870,15
1,45,3,1,832,44,1,1,50,854,15
1,44,3,1,832,53,2,3,49,864,15
1,52,3,1,853,58,1,3,57,874,15
1,60,2,1,840,63,1,1,64,876,15
1,8,1,1,168,9,2,1,11,169,16
1,45,3,1,1080,65,2,1,50,1109,16
1,24,2,1,490,38,1,1,28,508,16
1,31,2,1,611,35,1,1,35,634,16
1,12,2,1,247,16,1,1,16,250,16
1,25,1,1,358,29,4,1,28,377,16
1,36,5,1,725,44,1,1,43,750,16
1,39,1,1,761,44,5,2,42,784,16
1,85,1,1,1054,83,1,1,88,1100,16
1,52,1,1,1094,64,9,3,55,1126,16
2,64,3,1,1144,71,1,2,70,1181,16
1,26,1,1,384,26,1,2,29,399,16
1,72,1,1,1106,85,1,1,75,1144,16
1,57,1,1,999,42,6,4,60,1033,16
1,69,2,1,1073,65,5,1,73,1099,16
1,52,1,1,1051,64,3,2,55,1068,16
1,55,3,1,1032,57,1,2,60,1056,16
1,35,1,1,755,45,1,3,38,776,16
1,47,1,1,777,48,1,4,50,802,16
1,67,2,1,1184,74,4,2,71,1219,16
1,41,1,2,747,47,1,1,45,762,16
1,55,1,1,1143,67,3,4,58,1162,16
1,8,1,1,153,9,2,1,11,153,16
1,52,1,1,1124,74,4,3,55,1149,16
1,32,1,1,692,42,4,1,35,698,16
1,40,1,1,761,47,1,3,43,775,16
1,39,1,1,738,43,1,2,42,752,16
1,70,4,1,1148,85,1,3,76,1185,16
1,64,1,3,1172,74,1,1,69,1202,16
1,59,7,1,1211,70,2,3,68,1242,16
1,59,1,1,1113,76,1,1,62,1144,16
1,42,1,1,660,36,2,1,45,670,16
1,36,1,1,847,52,7,1,39,863,16
1,35,2,1,729,53,2,3,39,750,16
1,46,1,1,819,48,3,3,49,847,16
1,40,1,1,762,56,2,3,43,780,16
1,57,1,1,1125,71,3,1,60,1146,16
1,49,1,1,1079,50,1,2,52,1118,16
1,49,2,1,1073,47,3,3,53,1108,16
1,59,2,1,1134,59,3,6,63,1164,16
1,56,2,1,1146,63,6,3,60,1178,16
1,73,3,1,1095,85,4,3,78,1124,16
1,36,1,1,662,42,2,2,39,677,16
1,48,1,1,646,39,2,1,51,670,16
1,42,4,1,739,66,1,3,48,756,16
1,69,1,1,1094,66,2,4,72,1137,16
1,63,7,2,1121,66,1,10,73,1163,16
1,65,1,1,1072,67,4,3,68,1114,16
1,63,1,1,1168,74,2,1,66,1197,16
1,59,1,1,1169,52,7,2,62,1200,16
4,37,6,1,771,47,6,3,48,791,17
1,34,3,1,735,55,3,6,39,755,17
1,34,3,1,735,55,3,6,39,755,17
1,32,1,1,754,52,2,6,35,762,17
1,38,3,1,812,55,2,6,43,846,17
1,32,3,1,748,47,1,1,37,767,17
1,41,3,1,813,42,3,5,46,835,17
1,29,6,1,763,56,4,4,37,784,17
1,33,5,1,765,45,1,4,40,785,17
1,30,2,1,781,56,5,4,34,793,17
1,38,1,1,813,42,5,1,41,832,17
1,32,1,1,781,49,2,4,35,795,17
1,45,1,1,798,51,4,6,48,830,17
1,26,4,1,741,57,2,2,32,760,17
2,39,3,1,790,60,2,2,45,806,17
2,37,1,1,781,48,2,4,41,801,17
1,30,1,1,777,52,4,3,33,796,17
1,40,3,1,798,61,2,5,45,822,17
1,60,2,1,1248,79,3,5,64,1291,17
1,36,2,1,820,62,3,2,40,843,17
1,28,5,1,769,49,2,2,35,787,17
1,37,2,1,819,58,4,6,41,838,17
1,35,4,1,800,48,3,4,41,825,17
1,19,3,1,490,32,3,3,24,505,17
1,34,6,1,778,47,5,3,42,800,17
1,29,4,1,786,33,2,2,35,799,17
1,37,1,1,794,46,5,4,40,812,17
1,26,4,1,774,52,6,4,32,800,17
1,33,7,1,781,55,3,3,42,796,17
2,33,1,1,795,46,3,4,37,810,17
1,33,1,1,787,46,3,4,36,802,17
1,36,3,1,798,48,4,3,41,819,17
1,37,3,2,800,54,7,1,43,823,17
1,26,2,1,515,27,1,3,30,530,17
2,37,1,1,751,54,3,6,41,762,17
2,32,2,1,797,56,3,3,37,816,17
1,33,4,1,797,44,1,6,39,811,17
1,32,6,1,750,48,2,5,40,772,17
1,25,3,1,765,47,5,2,30,783,17
1,29,4,1,811,47,4,7,35,820,17
1,40,2,1,831,59,1,6,44,845,17
1,28,2,1,797,43,5,3,32,821,17
1,33,2,1,777,47,1,7,37,800,17
1,30,2,1,796,44,2,7,34,816,17
1,40,1,1,847,64,7,2,43,871,17
1,38,2,1,784,53,2,3,42,804,17
2,34,2,1,743,68,1,2,39,756,17
1,36,3,1,795,59,3,9,41,816,17
2,35,3,2,782,54,3,4,42,797,17
2,33,4,1,792,51,1,5,40,810,17
1,21,2,1,437,21,1,1,25,447,18
1,29,2,1,500,36,1,3,33,526,18
1,19,1,1,454,22,1,1,22,472,18
1,21,1,1,501,11,1,1,24,516,18
1,50,1,1,936,54,1,2,53,979,18
1,45,1,1,827,43,1,3,48,872,18
1,35,1,1,519,30,1,1,38,555,18
2,56,1,1,1107,43,2,8,60,1140,18
1,32,1,1,494,24,4,1,35,531,18
1,43,1,1,1039,43,1,6,46,1072,18
1,28,1,1,589,29,1,2,31,614,18
1,53,1,1,908,50,1,3,56,950,18
1,29,1,1,446,23,1,2,32,471,18
1,21,1,1,482,20,1,2,24,499,18
1,15,1,1,286,18,1,1,18,301,18
1,6,1,1,141,14,1,1,9,148,18
1,19,1,1,407,17,1,2,22,420,18
1,16,1,1,376,20,1,1,19,388,18
1,30,1,1,379,26,2,1,33,404,18
1,37,1,1,819,48,3,3,40,848,18
1,20,1,1,409,25,1,2,23,431,18
1,11,1,1,197,9,1,1,14,208,18
1,12,1,1,250,15,1,1,15,262,18
1,73,1,1,1406,68,1,6,76,1462,18
1,14,1,1,298,25,1,1,17,313,18
1,9,1,1,162,15,1,1,12,174,18
1,15,1,1,315,23,1,1,18,329,18
1,24,1,1,335,25,1,1,27,356,18
1,11,1,1,157,11,1,1,14,165,18
1,35,1,1,432,27,1,1,38,464,18
2,57,1,1,794,44,2,4,61,831,18
2,55,1,1,921,47,2,3,59,965,18
1,16,1,1,227,15,1,1,19,242,18
1,11,1,1,214,13,1,2,14,224,18
1,23,1,1,481,22,1,2,26,495,18
1,22,1,1,430,28,1,1,25,457,18
1,31,1,1,612,32,1,4,34,637,18
1,31,2,1,493,36,1,1,35,519,18
1,13,1,1,222,13,1,1,16,235,18
1,13,1,1,294,14,1,1,16,310,18
1,31,1,1,576,39,1,3,34,607,18
1,19,1,1,288,19,1,1,22,304,18
1,28,1,1,399,18,1,2,31,422,18
1,30,1,1,428,29,1,1,33,461,18
1,24,1,1,288,19,1,1,27,317,18
1,17,1,1,376,23,1,1,20,394,18
1,10,1,1,181,6,1,1,13,189,18
1,31,1,1,673,35,1,2,34,720,18
1,33,1,1,590,30,1,2,36,620,18
1,31,1,1,608,30,1,2,34,641,18
1,15,1,1,265,10,2,1,18,271,19
1,42,1,1,971,43,3,3,45,995,19
1,50,1,1,1182,67,3,6,53,1206,19
2,23,1,1,494,20,3,1,27,509,19
1,59,1,1,1429,74,2,4,62,1461,19
1,59,1,2,1776,102,7,8,63,1823,19
2,89,1,1,1994,124,1,11,93,2055,19
1,12,1,1,237,10,1,1,15,243,19
2,33,1,1,757,32,1,8,37,777,19
2,46,1,1,947,51,2,6,50,966,19
1,25,1,1,398,26,1,3,28,414,19
1,63,3,1,1791,105,3,7,68,1825,19
1,32,1,1,727,44,3,5,35,743,19
1,35,1,1,836,45,3,6,38,863,19
3,40,1,1,848,45,1,6,45,865,19
1,32,1,1,748,32,3,2,35,771,19
1,45,1,1,1238,62,2,11,48,1270,19
1,14,1,1,260,18,1,2,17,267,19
1,19,1,1,368,17,1,3,22,377,19
1,37,2,1,845,44,1,3,41,864,19
2,13,1,1,252,6,1,1,17,258,19
1,24,2,1,632,36,1,6,28,649,19
1,33,2,1,867,47,6,5,37,884,19
1,27,1,1,427,22,1,1,30,443,19
1,15,1,1,315,17,1,2,18,329,19
1,18,1,1,406,13,1,2,21,418,19
1,41,1,1,1166,50,3,7,44,1194,19
1,12,1,1,248,11,1,1,15,258,19
1,18,1,1,462,12,2,1,21,472,19
1,49,1,1,1321,61,2,4,52,1356,19
1,12,1,1,249,4,1,2,15,258,19
1,62,1,1,1567,82,4,4,65,1608,19
1,8,1,1,203,15,1,1,11,207,19
1,12,1,1,269,9,2,3,15,277,19
2,37,1,1,853,48,1,5,41,873,19
1,24,1,1,416,19,1,1,27,434,19
1,11,1,1,198,6,2,1,14,208,19
1,19,1,1,534,25,1,2,22,544,19
1,62,1,1,1551,64,3,6,65,1590,19
1,15,1,1,273,16,1,2,18,285,19
1,17,1,1,566,36,2,4,20,584,19
4,61,9,1,1521,88,4,7,75,1547,19
1,22,1,1,454,24,1,3,25,466,19
1,18,1,1,340,21,2,3,21,348,19
1,20,1,1,440,21,1,2,23,453,19
4,52,2,1,1162,63,2,10,59,1190,19
1,26,1,1,691,30,1,6,29,711,19
1,42,5,1,1285,59,2,8,49,1310,19
1,14,1,1,312,14,1,1,17,323,19
1,35,1,1,817,47,5,3,38,832,19
1,33,1,1,814,24,1,2,36,851,2
1,36,1,1,826,35,3,1,39,865,2
1,41,2,1,949,27,1,2,45,987,2
1,34,1,1,845,34,3,2,37,877,2
1,32,1,1,897,43,1,2,35,927,2
1,33,3,1,757,33,1,8,38,791,2
1,34,2,1,792,22,1,4,38,823,2
1,35,1,1,922,36,1,6,38,955,2
1,33,1,1,797,28,6,3,36,823,2
1,41,1,1,918,28,1,4,44,956,2
1,42,1,1,880,20,5,3,45,919,2
1,37,2,1,815,26,1,3,41,857,2
1,39,1,1,928,36,4,4,42,965,2
1,38,1,1,831,32,1,3,41,871,2
1,43,1,1,916,47,1,3,46,959,2
1,33,2,1,833,29,1,4,37,866,2
1,37,1,1,877,14,1,3,40,911,2
1,42,2,1,1056,36,3,4,46,1082,2
1,30,1,1,778,31,1,3,33,819,2
1,36,1,1,843,32,1,2,39,878,2
1,36,1,1,805,28,1,4,39,837,2
1,33,1,1,747,29,3,4,36,787,2
1,41,2,1,914,23,1,3,45,951,2
1,35,2,1,772,29,1,2,39,806,2
1,40,3,1,941,39,1,5,45,982,2
1,43,1,1,819,26,1,4,46,866,2
1,36,3,1,937,28,1,3,41,972,2
1,36,1,1,835,36,1,3,39,871,2
1,46,2,1,926,26,2,6,50,962,2
1,35,1,1,739,29,4,1,38,759,2
1,38,2,1,936,32,1,2,42,976,2
1,39,1,1,933,37,1,4,42,975,2
1,41,2,1,992,24,4,5,45,1029,2
1,42,1,1,953,35,3,5,45,990,2
1,42,1,1,856,34,1,4,45,880,2
1,37,1,1,872,28,1,1,40,899,2
1,37,1,1,859,33,1,2,40,897,2
1,34,2,1,789,21,1,1,38,817,2
1,43,5,1,775,24,1,1,50,822,2
1,31,4,1,837,23,1,3,37,848,2
1,34,1,1,841,29,1,4,37,851,2
1,40,2,1,877,26,2,6,44,897,2
1,36,2,1,832,24,1,5,40,845,2
1,32,2,1,843,25,2,1,36,858,2
1,34,1,1,840,29,1,2,37,851,2
1,32,1,1,847,23,1,1,35,858,2
1,28,1,1,843,38,1,1,31,853,2
1,43,1,1,896,37,1,4,46,913,2
